x,y,z
0.028,0.999,0.031
0.027,1.010,0.020
0.030,1.005,0.032
0.021,0.988,0.063
0.030,0.988,0.069
0.032,0.997,0.050
0.031,1.005,0.046
0.025,0.996,0.069
0.029,1.004,0.054
0.037,0.990,0.089
0.034,0.989,0.111
0.024,0.991,0.105
0.038,0.972,0.138
0.023,0.984,0.145
0.011,0.976,0.161
0.016,0.987,0.157
0.079,0.960,0.182
0.033,0.980,0.193
-0.031,0.995,0.144
0.009,1.003,0.144
0.060,0.986,0.151
0.028,1.029,0.180
0.005,0.992,0.178
-0.035,0.990,0.196
0.028,0.959,0.253
0.034,0.950,0.292
0.063,0.957,0.275
0.031,0.949,0.296
0.045,0.936,0.361
0.005,0.927,0.354
0.020,0.908,0.393
0.003,0.901,0.393
0.011,0.903,0.418
-0.005,0.912,0.398
-0.036,0.937,0.355
0.005,0.921,0.377
0.085,0.876,0.479
-0.028,0.902,0.393
-0.032,0.888,0.445
-0.035,0.893,0.445
0.059,0.873,0.478
0.004,0.880,0.463
0.021,0.872,0.475
-0.011,0.867,0.480
-0.006,0.864,0.506
-0.004,0.864,0.501
0.017,0.837,0.516
0.018,0.871,0.524
0.002,0.853,0.536
0.042,0.843,0.532
0.010,0.824,0.517
-0.021,0.823,0.569
-0.021,0.814,0.577
0.012,0.797,0.616
0.031,0.802,0.592
-0.009,0.783,0.594
0.034,0.754,0.635
0.007,0.758,0.644
0.005,0.767,0.634
0.018,0.754,0.619
0.007,0.724,0.677
-0.020,0.708,0.710
0.010,0.703,0.706
-0.007,0.675,0.713
0.004,0.657,0.746
-0.006,0.651,0.771
0.010,0.677,0.710
0.003,0.614,0.759
-0.012,0.597,0.792
-0.015,0.583,0.827
-0.019,0.576,0.802
-0.006,0.561,0.802
-0.019,0.549,0.813
-0.028,0.508,0.867
-0.019,0.486,0.881
-0.017,0.483,0.886
-0.021,0.463,0.862
-0.027,0.436,0.899
-0.019,0.427,0.923
-0.023,0.402,0.926
-0.037,0.398,0.929
-0.024,0.382,0.931
-0.007,0.369,0.934
-0.006,0.363,0.915
-0.020,0.342,0.932
-0.039,0.321,0.962
-0.040,0.312,0.966
-0.028,0.321,0.948
-0.025,0.287,0.938
-0.021,0.276,0.958
-0.036,0.275,0.944
-0.046,0.245,0.953
-0.044,0.214,0.979
-0.034,0.199,0.991
-0.004,0.184,1.024
-0.017,0.152,1.042
-0.036,0.126,1.006
-0.046,0.146,1.014
-0.062,0.166,0.954
-0.033,0.152,0.979
-0.024,0.167,0.987
-0.058,0.126,1.017
-0.061,0.126,1.001
-0.059,0.124,0.999
-0.054,0.127,0.992
-0.060,0.127,0.990
-0.126,0.083,0.939
-0.105,0.114,0.926
0.046,0.127,1.182
-0.042,0.126,1.004
-0.047,0.118,1.007
-0.076,0.118,0.996
-0.079,0.118,1.010
-0.072,0.103,1.005
-0.035,0.082,1.004
-0.074,0.073,0.997
0.309,0.326,1.061
-0.261,0.150,0.714
0.552,-0.176,1.400
-0.073,0.111,0.914
-0.152,-0.113,1.322
-0.056,0.009,1.043
-0.055,0.013,1.008
-0.035,0.031,1.004
-0.042,0.040,0.999
-0.047,0.024,0.993
-0.045,0.018,0.996
-0.046,0.014,0.993
-0.047,0.029,0.998
-0.043,0.034,1.001
-0.053,0.029,1.003
-0.046,0.025,0.991
-0.050,0.019,1.007
-0.042,0.019,0.997
-0.048,0.026,1.000
-0.045,0.022,1.000
-0.051,0.020,0.993
-0.052,0.027,1.008
-0.032,0.016,1.020
-0.049,0.026,0.992
-0.047,0.018,0.996
-0.041,0.013,1.007
-0.042,0.023,1.003
-0.035,0.032,0.994
-0.059,-0.031,1.000
-0.052,-0.002,1.001
-0.033,0.033,0.995
-0.040,0.027,1.030
-0.031,0.016,1.014
-0.024,-0.002,0.978
-0.027,0.013,1.002
-0.030,0.013,1.002
-0.027,0.011,0.996
-0.026,0.007,1.002
-0.028,0.011,1.000
-0.027,0.010,1.001
-0.027,0.008,1.000
-0.029,0.011,1.001
-0.028,0.004,0.993
-0.022,0.000,0.999
0.006,-0.070,0.788
-0.042,0.023,0.998
-0.012,-0.022,0.926
-0.113,0.049,1.152
-0.041,0.020,1.017
-0.031,0.013,0.996
-0.032,0.012,1.001
-0.041,0.011,1.000
-0.033,0.016,0.979
-0.038,0.015,1.004
-0.041,0.015,1.017
-0.033,0.009,0.996
-0.032,0.015,0.977
-0.036,0.018,1.001
-0.034,0.009,1.012
-0.034,0.016,0.991
-0.045,0.024,1.021
-0.031,0.016,0.992
-0.040,0.013,1.002
-0.042,0.014,1.002
-0.037,0.020,0.996
-0.036,0.016,1.010
-0.038,0.015,1.001
-0.040,0.016,1.005
-0.037,0.014,0.998
-0.041,0.020,0.993
-0.029,0.027,0.999
-0.038,0.020,1.001
-0.042,0.016,1.001
-0.031,0.016,0.978
-0.038,0.012,1.008
-0.044,0.014,1.014
-0.033,0.014,0.982
-0.032,0.020,1.005
-0.040,0.021,1.020
-0.033,0.015,0.997
-0.039,0.012,0.986
-0.034,0.018,1.004
-0.032,0.017,1.005
-0.048,-0.003,1.008
-0.029,0.016,0.995
-0.035,0.019,1.005
-0.040,0.014,1.002
-0.032,0.016,0.988
-0.036,0.018,1.007
-0.034,0.020,1.009
-0.033,0.023,1.019
-0.020,0.050,1.024
-0.049,-0.003,0.982
-0.063,-0.018,0.997
-0.033,0.017,1.007
-0.006,0.038,1.003
-0.065,0.007,0.993
-0.036,0.018,1.007
-0.028,0.013,1.005
-0.036,0.018,1.002
-0.036,0.015,0.998
-0.023,0.019,0.993
-0.029,0.021,1.008
-0.051,-0.006,0.992
-0.001,0.061,1.002
-0.099,-0.081,0.975
-0.029,0.008,0.999
-0.017,0.027,0.998
-0.085,-0.042,1.047
-0.021,0.026,0.998
-0.046,-0.007,1.013
-0.028,0.018,0.972
-0.048,0.019,1.046
-0.040,0.017,1.037
-0.035,-0.005,0.980
-0.042,-0.025,0.963
-0.081,-0.028,1.056
-0.004,0.046,1.016
