x,y,z
-6.201,21.082,-59.375
-5.457,19.336,-59.741
-5.432,17.346,-59.570
-4.443,15.161,-57.654
-3.601,14.160,-59.326
-3.601,14.160,-59.326
-3.223,13.367,-59.546
-1.660,11.707,-59.387
-0.330,9.839,-59.436
1.697,7.971,-59.509
3.809,6.702,-58.459
4.651,5.310,-58.911
4.651,5.310,-58.911
4.492,6.335,-58.813
4.639,6.140,-59.912
4.004,6.494,-58.948
4.517,6.372,-59.167
4.517,6.372,-59.167
5.420,5.823,-58.533
5.029,5.591,-59.436
4.944,5.457,-58.667
6.006,4.761,-59.058
5.786,5.273,-57.727
5.786,5.273,-57.727
7.605,4.724,-57.935
8.899,4.919,-58.228
9.521,4.541,-59.033
11.377,3.613,-60.059
11.377,3.613,-60.059
12.866,3.906,-58.228
14.807,3.516,-58.142
17.273,3.198,-59.045
18.481,3.857,-58.167
20.337,4.712,-58.984
21.655,5.164,-57.935
21.655,5.164,-57.935
22.583,6.067,-59.949
24.585,6.287,-58.215
26.221,6.921,-58.691
28.284,7.202,-57.971
30.042,8.704,-57.703
30.420,10.522,-58.728
30.420,10.522,-58.728
31.470,11.487,-58.337
32.214,13.013,-57.605
33.179,15.076,-58.899
33.362,16.931,-58.765
33.362,16.931,-58.765
34.009,18.079,-57.800
34.497,19.788,-58.435
34.668,21.350,-58.496
33.752,23.608,-58.032
33.264,25.598,-59.509
33.264,25.598,-59.509
32.434,26.843,-58.484
33.972,26.404,-58.801
34.399,25.769,-57.727
34.033,25.366,-58.435
33.569,25.793,-57.959
33.569,25.793,-57.959
33.557,26.819,-58.350
33.496,25.635,-57.971
33.850,26.050,-58.618
33.179,26.270,-59.143
33.716,26.123,-58.997
33.716,26.123,-58.997
33.569,25.256,-58.362
34.009,26.221,-58.850
32.776,28.259,-58.044
32.532,28.955,-58.435
31.824,30.444,-58.228
31.372,31.970,-58.337
31.372,31.970,-58.337
29.773,32.983,-59.045
29.895,34.253,-59.460
28.650,35.596,-58.936
27.881,36.011,-59.045
27.881,36.011,-59.045
26.685,37.146,-58.337
26.440,37.061,-59.131
25.085,38.123,-59.265
24.109,38.916,-58.984
22.705,38.989,-59.338
21.033,39.026,-58.936
21.033,39.026,-58.936
19.312,39.868,-60.437
18.298,41.138,-59.412
16.345,40.845,-59.961
14.673,41.125,-58.606
14.673,41.125,-58.606
12.610,41.577,-59.717
11.340,40.918,-59.595
9.802,41.553,-58.643
9.070,39.966,-59.424
7.092,39.587,-60.449
5.762,39.746,-59.851
5.762,39.746,-59.851
4.590,39.124,-58.911
3.455,38.965,-59.583
1.379,37.292,-58.936
-0.085,36.548,-58.557
-0.085,36.548,-58.557
-0.354,35.693,-59.534
-0.964,34.888,-59.326
-0.586,34.155,-59.399
-0.439,33.972,-59.277
-0.574,34.460,-60.278
-0.574,34.460,-60.278
-0.317,34.509,-60.474
-1.538,34.802,-59.009
-1.392,35.681,-59.863
-1.965,36.926,-58.044
-1.965,36.926,-58.044
-1.868,38.220,-57.483
-1.660,39.026,-58.008
-1.855,41.101,-56.238
-2.783,42.151,-55.627
-3.979,44.836,-53.284
-4.028,48.254,-51.355
-4.028,48.254,-51.355
-4.065,52.490,-48.584
-3.870,54.236,-46.362
-4.163,57.092,-42.480
-4.211,58.484,-38.855
-3.687,62.183,-31.836
-3.687,62.183,-31.836
-3.931,63.330,-27.856
-4.358,63.989,-22.754
-4.602,64.124,-17.725
-4.443,63.623,-13.464
-4.041,63.147,-11.206
-4.041,63.147,-11.206
-4.639,62.744,-8.423
-4.346,62.659,-9.351
-4.333,62.354,-9.229
-4.724,62.854,-8.423
-4.932,64.185,-9.326
-5.212,64.197,-11.450
-5.212,64.197,-11.450
-5.774,64.429,-12.964
-5.432,64.172,-11.670
-5.713,64.136,-11.804
-6.714,64.502,-12.964
-6.714,64.502,-12.964
-6.836,63.928,-11.414
-6.848,63.440,-9.509
-6.799,62.695,-7.263
-6.458,61.133,-4.626
-6.836,59.790,-0.696
-6.433,58.130,1.196
-6.433,58.130,1.196
-6.897,57.520,2.246
-6.555,56.885,4.285
-7.568,55.737,4.846
-7.678,53.809,7.422
-8.386,51.160,7.629
-8.179,50.232,9.473
-8.728,48.792,10.864
-7.312,47.766,11.829
-7.495,46.057,13.782
-7.349,43.750,14.819
-7.349,43.750,14.819
-7.581,41.382,15.991
-7.434,38.318,18.127
-6.787,35.095,18.188
-6.763,33.032,18.677
-6.763,33.032,18.677
-7.483,34.045,17.969
-7.227,33.203,18.323
-7.263,33.020,19.202
-7.251,31.958,19.568
-7.178,30.640,19.067
