x,y,z
-0.035,-0.995,-0.014
-0.035,-0.994,-0.014
-0.035,-0.993,-0.014
-0.036,-0.993,-0.013
-0.034,-0.993,-0.014
-0.035,-0.994,-0.013
-0.035,-0.994,-0.015
-0.034,-0.994,-0.016
-0.035,-0.993,-0.013
-0.033,-0.994,-0.014
-0.034,-0.993,-0.015
-0.035,-0.994,-0.015
-0.035,-0.993,-0.014
-0.035,-0.993,-0.015
-0.035,-0.993,-0.015
-0.034,-0.995,-0.014
-0.035,-0.993,-0.015
-0.034,-0.993,-0.014
-0.036,-0.994,-0.015
-0.034,-0.993,-0.014
-0.035,-0.993,-0.015
-0.034,-0.993,-0.015
-0.034,-0.993,-0.015
-0.035,-0.994,-0.014
-0.035,-0.993,-0.014
-0.035,-0.993,-0.014
-0.035,-0.994,-0.015
-0.034,-0.993,-0.015
-0.036,-0.993,-0.015
-0.036,-0.994,-0.015
-0.035,-0.993,-0.015
-0.035,-0.994,-0.015
-0.034,-0.993,-0.014
-0.035,-0.993,-0.014
-0.033,-0.994,-0.015
-0.034,-0.994,-0.015
-0.036,-0.994,-0.015
-0.035,-0.993,-0.015
-0.034,-0.992,-0.015
-0.036,-0.993,-0.015
-0.035,-0.993,-0.014
-0.035,-0.994,-0.016
-0.034,-0.993,-0.014
-0.035,-0.993,-0.014
-0.034,-0.994,-0.015
-0.035,-0.993,-0.015
-0.035,-0.995,-0.016
-0.034,-0.993,-0.015
-0.035,-0.994,-0.016
-0.034,-0.993,-0.015
-0.036,-0.994,-0.015
-0.035,-0.993,-0.015
-0.035,-0.994,-0.015
-0.034,-0.993,-0.015
-0.035,-0.994,-0.015
-0.034,-0.993,-0.015
-0.036,-0.993,-0.014
-0.034,-0.993,-0.015
-0.035,-0.994,-0.013
-0.035,-0.993,-0.015
-0.035,-0.994,-0.015
-0.036,-0.994,-0.015
-0.035,-0.992,-0.015
-0.035,-0.995,-0.014
-0.035,-0.992,-0.015
-0.035,-0.994,-0.014
-0.035,-0.993,-0.015
-0.034,-0.994,-0.015
-0.034,-0.993,-0.014
-0.035,-0.994,-0.015
-0.035,-0.995,-0.014
-0.035,-0.993,-0.015
-0.034,-0.993,-0.014
-0.036,-0.994,-0.014
-0.034,-0.993,-0.015
-0.036,-0.993,-0.014
-0.036,-0.993,-0.015
-0.035,-0.993,-0.014
-0.035,-0.994,-0.014
-0.034,-0.993,-0.015
-0.036,-0.994,-0.015
-0.035,-0.991,-0.016
-0.035,-0.994,-0.015
-0.035,-0.993,-0.014
-0.036,-0.994,-0.015
-0.036,-0.995,-0.014
-0.035,-0.993,-0.014
-0.036,-0.993,-0.015
-0.035,-0.994,-0.015
-0.035,-0.993,-0.014
-0.034,-0.992,-0.014
-0.036,-0.993,-0.014
-0.035,-0.993,-0.015
-0.035,-0.993,-0.014
-0.035,-0.994,-0.014
-0.035,-0.993,-0.014
-0.035,-0.992,-0.014
-0.035,-0.993,-0.015
-0.036,-0.993,-0.013
-0.035,-0.993,-0.015
-0.036,-0.993,-0.015
-0.035,-0.992,-0.014
-0.035,-0.996,-0.015
-0.036,-0.993,-0.016
-0.035,-0.993,-0.014
-0.035,-0.994,-0.014
-0.035,-0.994,-0.015
-0.035,-0.994,-0.014
-0.035,-0.993,-0.014
-0.036,-0.995,-0.015
-0.035,-0.994,-0.014
-0.036,-0.993,-0.014
-0.035,-0.994,-0.014
-0.035,-0.993,-0.014
-0.036,-0.993,-0.015
-0.034,-0.992,-0.015
-0.034,-0.994,-0.013
-0.036,-0.993,-0.014
-0.035,-0.993,-0.014
-0.035,-0.993,-0.014
-0.035,-0.993,-0.013
-0.035,-0.993,-0.014
-0.035,-0.993,-0.014
-0.036,-0.993,-0.014
-0.035,-0.994,-0.014
-0.036,-0.993,-0.015
-0.035,-0.993,-0.013
-0.035,-0.992,-0.015
-0.035,-0.993,-0.014
-0.035,-0.994,-0.013
-0.035,-0.994,-0.015
-0.035,-0.994,-0.014
-0.035,-0.993,-0.014
-0.035,-0.993,-0.014
-0.036,-0.994,-0.014
-0.036,-0.993,-0.015
-0.035,-0.993,-0.014
-0.035,-0.992,-0.015
-0.036,-0.993,-0.015
-0.035,-0.994,-0.014
-0.036,-0.993,-0.013
-0.035,-0.993,-0.016
-0.035,-0.994,-0.014
-0.035,-0.993,-0.013
-0.035,-0.993,-0.013
-0.034,-0.993,-0.014
-0.035,-0.994,-0.014
-0.036,-0.993,-0.014
-0.035,-0.994,-0.014
-0.035,-0.993,-0.015
-0.036,-0.994,-0.012
-0.034,-0.993,-0.013
-0.035,-0.993,-0.013
-0.035,-0.994,-0.014
-0.035,-0.994,-0.014
-0.035,-0.993,-0.012
-0.035,-0.994,-0.013
-0.035,-0.995,-0.014
-0.034,-0.994,-0.014
-0.035,-0.992,-0.013
-0.035,-0.994,-0.014
-0.036,-0.993,-0.014
-0.036,-0.993,-0.013
-0.036,-0.994,-0.015
-0.035,-0.993,-0.015
-0.036,-0.993,-0.014
-0.035,-0.994,-0.014
-0.035,-0.993,-0.014
-0.034,-0.992,-0.013
-0.034,-0.992,-0.014
-0.035,-0.995,-0.013
-0.035,-0.993,-0.015
-0.035,-0.993,-0.014
-0.035,-0.993,-0.014
-0.035,-0.993,-0.014
-0.035,-0.993,-0.013
-0.035,-0.992,-0.012
-0.036,-0.993,-0.013
-0.035,-0.993,-0.013
-0.036,-0.993,-0.013
-0.033,-0.993,-0.014
-0.035,-0.993,-0.014
-0.034,-0.992,-0.015
-0.035,-0.993,-0.013
-0.034,-0.993,-0.013
-0.035,-0.994,-0.014
-0.035,-0.993,-0.013
-0.037,-0.994,-0.014
-0.034,-0.993,-0.013
-0.034,-0.994,-0.014
-0.034,-0.994,-0.013
-0.036,-0.993,-0.014
-0.036,-0.993,-0.013
-0.036,-0.992,-0.014
-0.035,-0.995,-0.013
-0.036,-0.994,-0.014
-0.035,-0.993,-0.014
-0.035,-0.994,-0.014
-0.035,-0.993,-0.013
-0.035,-0.993,-0.013
-0.034,-0.993,-0.014
-0.035,-0.994,-0.014
-0.035,-0.993,-0.013
-0.034,-0.993,-0.014
-0.035,-0.992,-0.013
-0.036,-0.992,-0.014
-0.035,-0.993,-0.013
-0.036,-0.994,-0.013
-0.037,-0.993,-0.014
-0.036,-0.993,-0.014
-0.035,-0.992,-0.013
-0.034,-0.995,-0.012
-0.036,-0.993,-0.013
-0.035,-0.994,-0.014
-0.035,-0.992,-0.014
-0.035,-0.994,-0.014
-0.035,-0.993,-0.013
-0.034,-0.995,-0.013
-0.035,-0.995,-0.013
-0.035,-0.993,-0.014
-0.035,-0.994,-0.014
-0.035,-0.993,-0.013
-0.035,-0.993,-0.013
-0.034,-0.993,-0.013
-0.036,-0.993,-0.013
-0.035,-0.993,-0.013
-0.035,-0.994,-0.014
-0.036,-0.993,-0.013
-0.036,-0.993,-0.015
-0.036,-0.993,-0.014
-0.035,-0.993,-0.014
-0.035,-0.993,-0.014
-0.035,-0.994,-0.013
-0.035,-0.994,-0.013
-0.035,-0.992,-0.013
-0.036,-0.994,-0.013
-0.035,-0.993,-0.014
-0.035,-0.994,-0.014
-0.036,-0.994,-0.013
-0.035,-0.993,-0.014
-0.035,-0.994,-0.015
-0.034,-0.995,-0.013
-0.035,-0.994,-0.013
-0.035,-0.993,-0.013
-0.036,-0.993,-0.013
-0.036,-0.993,-0.013
-0.035,-0.992,-0.014
-0.035,-0.993,-0.013
-0.036,-0.993,-0.014
-0.036,-0.993,-0.013
-0.036,-0.994,-0.013
-0.035,-0.992,-0.015
-0.036,-0.993,-0.014
-0.037,-0.993,-0.015
-0.035,-0.992,-0.014
-0.035,-0.993,-0.014
-0.036,-0.993,-0.013
-0.036,-0.994,-0.014
-0.035,-0.993,-0.015
-0.035,-0.993,-0.014
-0.036,-0.994,-0.014
-0.035,-0.993,-0.014
-0.035,-0.993,-0.015
-0.036,-0.993,-0.014
-0.035,-0.995,-0.014
-0.035,-0.993,-0.014
-0.036,-0.994,-0.015
-0.035,-0.992,-0.014
-0.036,-0.993,-0.014
-0.035,-0.993,-0.014
-0.035,-0.993,-0.015
-0.035,-0.993,-0.012
-0.036,-0.993,-0.014
-0.036,-0.993,-0.014
-0.036,-0.994,-0.013
-0.036,-0.992,-0.014
-0.036,-0.994,-0.014
-0.034,-0.993,-0.014
-0.036,-0.994,-0.014
-0.035,-0.993,-0.014
-0.036,-0.993,-0.013
-0.035,-0.995,-0.013
-0.036,-0.993,-0.014
-0.036,-0.994,-0.013
-0.036,-0.993,-0.013
-0.035,-0.993,-0.013
-0.036,-0.993,-0.014
-0.036,-0.994,-0.013
-0.035,-0.996,-0.013
-0.035,-0.992,-0.013
-0.035,-0.993,-0.014
-0.035,-0.994,-0.013
-0.035,-0.993,-0.014
-0.035,-0.994,-0.013
-0.035,-0.994,-0.012
-0.035,-0.994,-0.012
-0.034,-0.995,-0.011
-0.034,-0.994,-0.010
-0.033,-0.994,-0.010
-0.034,-0.993,-0.012
-0.034,-0.994,-0.013
-0.035,-0.993,-0.010
-0.035,-0.993,-0.012
-0.036,-0.993,-0.012
-0.036,-0.994,-0.013
-0.036,-0.993,-0.012
-0.034,-0.994,-0.013
